Product Name,Brand,Seller,Actual Price,Discounted Price,In Stock,Review Count,Ratings,Category,Purchase Count,URL
"Apple iPad Pro 13″ (M4): Ultra Retina XDR Display, 256GB, Landscape 12MP Front Camera / 12MP Back Camera, LiDAR Scanner, Wi-Fi 6E, Face ID, All-Day Battery Life, Standard Glass — Space Black",Visit the Apple Store,Clicktech Retail Private Ltd,,"1,29,900..00",In stock,38 ratings,4.3 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/Apple-iPad-Pro-13%E2%80%B3-Landscape/dp/B0D3J873LP/ref=sr_1_51?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-51
"Lenovo Tab K10| 10.3 Inch Full HD Display| Wi-Fi+ LTE (Voice Calling)| 4GB RAM, 64 GB Storage| 7500 mAh Battery| 8 MP Rear Camera with LED flashlight| Octa-Core Processor| TUV Low Blue Light Certified",Visit the Lenovo Store,Victory IT Store,"₹32,000","11,888..00",In stock,"1,244 ratings",4.1 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/Lenovo-flashlight-Octa-Core-Processor-Certified/dp/B09H325Q44/ref=sr_1_49?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-49
Alarsin G32 Tablet,Brand: Alarsin,SHIV SHANKER STORES,₹150,134..00,In stock,52 ratings,4.2 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/Alarsin-G32-Tablet/dp/B07VX3WCGX/ref=sr_1_54?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-54
"Apple iPad Mini (A17 Pro): Apple Intelligence, 21.08 cm (8.3″) Liquid Retina Display, 128GB, Wi-Fi 6E, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Space Grey",Visit the Apple Store,Clicktech Retail Private Ltd,,"49,900..00",In stock,20 ratings,3.8 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/Apple-iPad-Mini-A17-Pro/dp/B0DK3Z6NMQ/ref=sr_1_59?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-59
Dermaindia Azkera Tablet (Pack Of 3),Brand: Dermaindia,HD COSMOCARE,₹720,644..00,In stock,11 ratings,3.5 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/Azkera-Tablet-Pack-of-3/dp/B09PDX8GX5/ref=sr_1_66?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-66
"IKALL N11 7"" Display, Android 8.0 Tablet - 2Gb Ram &16GB Storage (Grey)",Visit the IKALL Store,Fabimpex,"₹5,999","3,350..00",In stock,19 ratings,2.5 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/IKALL-N11-Display-Android-Tablet/dp/B0D44TFKYF/ref=sr_1_67?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-67
"Lenovo Tab M10 FHD Plus Tablet (26.16 cm (10.3-inch), 2GB, 32GB, Wi-Fi + LTE, Volte Calling), Platinum Grey",Visit the Lenovo Store,DD MOBILE STORE,"₹27,500","8,750..00",In stock,"8,510 ratings",3.8 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/Lenovo-Tablet-10-3-inch-Calling-Platinum/dp/B08T6MWKBL/ref=sr_1_64?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-64
"Lenovo Tab M9, WiFi+4G Tablet| 9 Inch (22.86 cm) Display| 4GB RAM, 64GB Storage (Expandable)| Dual Speaker| Color: Arctic Grey | ZAC60073IN",Visit the Lenovo Store,Victory IT Store,"₹18,000","10,999..00",In stock,,Previous page,Computers & Accessories,Unavailable,https://www.amazon.in/Lenovo-Tab-M9-Display-Expandable/dp/B0DMNPDKDW/ref=sr_1_69?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-69
"DOMO Slate SSM28 OS13 8-inch IPS 4G Calling Tablet PC 4GB RAM, 64GB Storage with GPS, Bluetooth, OctaCore CPU (Black)",Visit the DOMO Store,Bombaymall,"₹26,990","6,989..00",In stock,2 ratings,5.0 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/DOMO-SSM28-Calling-Bluetooth-OctaCore/dp/B0DRY1CDPJ/ref=sr_1_71?dib=eyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8&dib_tag=se&qid=1738910845&s=computers&sr=1-71
"Xiaomi Pad 7 |Qualcomm Snapdragon 7+ Gen 3 |28.44cm(11.2"") Display |8GB, 128GB |3.2K CrystalRes Display |HyperOS 2 |68 Billion+ Colours |Dolby Vision Atmos |Quad Speakers |Wi-Fi 6e |Graphite Grey",Brand: Xiaomi,Clicktech Retail Private Ltd,"₹34,999","27,999..00",In stock,85 ratings,4.4 out of 5 stars,Computers & Accessories,Unavailable,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTQzMDU1MjU0MTAzMzQyOjE3Mzg5MTA4NDU6c3BfYnRmX2Jyb3dzZTozMDA0NTk0MjI3NTEwMzI6OjA6Og&url=%2FXiaomi-Qualcomm-Snapdragon-CrystalRes-Speakers%2Fdp%2FB0DRYWVWSS%2Fref%3Dsr_1_73_sspa%3Fdib%3DeyJ2IjoiMSJ9.9HpLD6snBxdS-umorhW4ZcFTlr11qUjNoy2W6iuTpeKJzVWgYcFBWs0RKdAghB82k7dn3zi-n6_9fv41z0QwH8glaqsk4A5QRFvaH0idndfr-fL-y-8YlWHhY-_cWcYoV7sSHnieYctQn_Udu80ZzN205vulCdLpJvoIcBHLKGA4Gh1V9eAcKLzqumCH5R27dNSxsmHM8ULptoyY-FmnIbbI__RUSeqauPqUJ5dNKejjr3KOxLAxiIXW_fLzwvhpsxQDMxdKuAhW_gXjZjvAf-GOlSNwNTSSeEC6IkN-fW4.YQ-9ypSl2In5qt3C8_NdFrBLGYMdMWSBxyi8DPXMEw8%26dib_tag%3Dse%26qid%3D1738910845%26s%3Dcomputers%26sr%3D1-73-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGZfYnJvd3Nl%26psc%3D1
