Title,Brand,Price,Discount,Stock Status,Rating,Social Proof,URL
"HP Ink Advantage Ultra 4826 Print, Copy, Scan, Self Reset Dual Band WiFi, 2 Sets of Inbox Cartridges, Smart App Setup. Print per Page (44p for B/W and 81p for Colour), Ideal for Home",Visit the HP Store,"₹11,250","9,450",In stock,"4.1  4.1 out of 5 stars  (1,245)",,https://www.amazon.in/HP-Deskjet-Advantage-self-Reset-42-4X55-5X24-5/dp/B09HXR44XS
"HPRT MT800Q Carbon Tape Printer Portable Printer Support 8.5"" X 11"" US Letter & A4 Paper Bluetooth Wireless Travel Printer Compatible with Android and iOS, Suitable for On The Go (White)","Visit the store, HPRT    HPRT   Visit the store","₹23,680","16,200",In stock,Rating not found,,https://www.amazon.in/HPRT-MT800Q-Portable-Bluetooth-Compatible/dp/B0BR7N2FLR
Brother HL-L2351DW Monochrome Laser Printer with Auto Duplex & Wi-Fi Printing,Visit the Brother Store,Discount not found,"13,249",Stock info not found,4.3  4.3 out of 5 stars  (449),,https://www.amazon.in/Brother-HL-L2351DW-Laser-Printer-Black/dp/B07GLPXZKR
"HP Laser MFP 138fnw, Wireless, Print, Copy, Scan, Fax, 40-Sheet ADF, Ethernet, Hi-Speed USB 2.0, Up to 21 ppm, 150-sheet Input Tray, 100-sheet Output Tray, Black and White, 1-Year Warranty, 4ZB91A",Visit the HP Store,"₹34,500","28,999",Only 1 left in stock.,"4.0  4.0 out of 5 stars  (1,294)",,https://www.amazon.in/HP-Laser-138fnw-Network-Wireless/dp/B07RWL4TVF
"HP Laser 1008a Printer, Single Function, Print, Hi-Speed USB 2.0, Up to 21 ppm, 150-sheet Input Tray, 100-sheet Output Tray, 10,000-page Duty Cycle, 1-Year Warranty, Black and White, 714Z8A",Visit the HP Store,"₹14,204","11,499",In stock,3.5  3.5 out of 5 stars  (59),,https://www.amazon.in/HP-Function-150-sheet-100-sheet-714Z8A/dp/B0C28FHWFF
Canon PIXMA MegaTank G2770 All-in-one Inktank Colour Printer with 1 Year Additional Warranty on Product Registration,"Visit the store, Canon    Canon   Visit the store","₹15,840","11,499",In stock,Rating not found,,https://www.amazon.in/Canon-G2770-Inktank-Blaupunkt-Redemption/dp/B0BY94WDGF
"Epson Tm-T82 (USB Pos Monochrome Wired Home Inkjet Printers), Gray",Visit the Epson Store,"₹15,999","11,897",In stock,4.1  4.1 out of 5 stars  (78),,https://www.amazon.in/Epson-TM-T82-USB-Box-Printer/dp/B07GF6LLS4
SEIBEN XP320M 80MM Heavy Duty USB POS Thermal Printer with Auto Cutter.,,"₹6,000","4,499",In stock,4.3  4.3 out of 5 stars  (307),,https://www.amazon.in/SEIBEN-Xprinter-XP320M-Thermal-Interface/dp/B08X4DBGH1
"TSC Te210 Thermal Transfer Monochrome Wired Home Inkjet Printers, 4"" (Desktop), Black",Visit the TSC Store,"₹19,999","14,599",In stock,3.8  3.8 out of 5 stars,,https://www.amazon.in/TSC-TE210-Thermal-Transfer-Printer/dp/B07G79WF8G
Epson EcoTank L3256 Wi-Fi Multifunction InkTank Printer,Visit the Epson Store,"₹17,999","13,999",In stock,3.8  3.8 out of 5 stars  (83),,https://www.amazon.in/Epson-EcoTank-L3256-White-Printer/dp/B09Q63YWR3
"Epson Ecotank M205 Wi-Fi Multifunction B&W Wireless Colour Solid Ink Printers, Black",Visit the Epson Store,Discount not found,"19,899",In stock,4.1  4.1 out of 5 stars  (401),,https://www.amazon.in/Epson-M205-Wireless-Black-Printer/dp/B01565GBGK
"RIITEK PeriPage 304 DPI Ultra HD Resolution A6 Mini Printer; Wireless Bluetooth Portable Inkless Thermal Printer for Printing Label, Sticker, Photo, QR Code, Receipt (Pink)(1 Year Warranty)","Visit the store, RIITEK    RIITEK   Visit the store","₹4,990","2,700",In stock,Rating not found,,https://www.amazon.in/Riitek-PeriPage-Resolution-Wireless-Bluetooth/dp/B0BPYLWSQB
LENVII LV-275 2 inch Thermal Label Printer | Barcode Printer Machine | Thermal Sticker Printer | Compatible with Windows/Mac | Suitable Thermal Printer for Amazon Label Printing - NOT Receipt Printer,Visit the LENVII Store,Discount not found,Price not found,Stock info not found,4.0  4.0 out of 5 stars,,https://www.amazon.in/LENVII-LV-275-Printer-Barcode-Compatible/dp/B0BV9FJJX2
