"originalAsin","reviewsCount","brand","bestsellerRanks","bestsellerRanks/0/category","bestsellerRanks/0/rank","bestsellerRanks/0/url","bestsellerRanks/1/category","bestsellerRanks/1/rank","bestsellerRanks/1/url","bestsellerRanks/2/url","bestsellerRanks/3/url","productOverview/0/key","productOverview/0/value","productOverview/1/value","productOverview/2/key","productOverview/3/key","productOverview/3/value","productOverview/4/key","productOverview/4/value","productOverview/5/key","productOverview/5/value","productOverview/6/key","productOverview/6/value","productOverview/7/key","productOverview/7/value","productOverview/8/key","productOverview/8/value","productOverview/9/key","productOverview/9/value","author","seller","seller/address/0","seller/address/1","seller/address/2","seller/address/3","seller/address/4","seller/averageRating","seller/businessName","seller/id","seller/name","seller/phone","seller/reviewsCount","seller/url","loadedCountryCode","url","price","price/currency","price/value","description","features/0","features/1","features/2","features/4","features/5","features/6","features/8","asin","stars","listPrice","listPrice/currency","listPrice/value","inStock","delivery","priceRange","fastestDelivery"
"B0BB2GF9WW","1360","McAfee",,"Software","22","https://www.amazon.com/gp/bestsellers/software/ref=pd_zg_ts_software","Antivirus","3","https://www.amazon.com/gp/bestsellers/software/2251986011/ref=pd_zg_hrsr_software","https://www.amazon.com/gp/bestsellers/software/2251987011/ref=pd_zg_hrsr_software","https://www.amazon.com/gp/bestsellers/software/120225784011/ref=pd_zg_hrsr_software",,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3ODHND3J0WMC8","Amazon.com Services LLC",,,"https://www.amazon.com/sp?seller=A3ODHND3J0WMC8","US","https://www.amazon.com/dp/B0BB2GF9WW",,"$","29.99","McAfee Total Protection for 5 devices provides essential protection for your personal info and privacy, so you can enjoy life online. It includes antivirus, Text Scam Detector, identity monitoring, Secure VPN, and more. Experience award-winning antivirus protection, continuously updated to safeguard your devices against the latest threats. Our AI-powered real-time PC protection prevents and removes viruses, malware, ransomware, and other online threats. Our AI-powered Text Scam Detector automatically detects and blocks risky links in text messages, emails, and social media posts – even if you accidentally click on them. Protect your online privacy with our no-log Secure VPN. It turns on automatically for unsafe Wi-Fi networks, safeguarding your personal info, passwords, credit card numbers, and more. Get alerted up to 10 months sooner than similar services if your personal information is found in a data breach. McAfee Identity Monitoring gives you the advantage of earlier detection and quick response to potential identity theft. Browse the web confidently with our color-coded safety ratings for search results and social media links. We’ll also block dangerous downloads that may contain viruses or malware. Easily create, store, and manage strong, unique passwords for all your online accounts. Our password manager also auto-fills your login info, making it simple and secure to access your accounts.","DEVICE SECURITY - Award-winning antivirus powered by McAfee Smart AI to protect you from new and evolving threats","TEXT SCAM DETECTOR - Blocks risky links and warns you about text scams with AI-powered technology","SECURE YOUR ONLINE PRIVACY - automatically when using public Wi-Fi. Protect your personal data and activity with Secure VPN. It safeguards your banking, shopping, and browsing by turning public Wi-Fi into your own secure connection","SAFE BROWSING - Warns you about risky websites and phishing attempts","PASSWORD MANAGER - Generates and stores complex passwords for you","24/7 CUSTOMER SUPPORT - McAfee provides 24/7 customer support, so you can always get help when you need it",,"B0BB2GF9WW","4.1",,"$","119.99","true",,,
"B0C4Y1RZTR","500","Vuees",,"Tools & Home Improvement","15545","https://www.amazon.com/gp/bestsellers/hi/ref=pd_zg_ts_hi","Outdoor Figurine Lights","7","https://www.amazon.com/gp/bestsellers/hi/5486449011/ref=pd_zg_hrsr_hi",,,"Color","Gold","Vuees","Material","Theme","Angels","Item Weight","0.53 Kilograms",,,,,,,,,,,,,,,,,,,,"A2BXGUDKGZNDSY","Vuees Direct Store",,,"https://www.amazon.com/sp?seller=A2BXGUDKGZNDSY","US","https://www.amazon.com/dp/B0C4Y1RZTR",,"$","28.99",,"SOLAR LIGHT AUTOMATIC ON/OFF: This solar fairy light features built-in photosensitive components that automatically control brightness. It illuminates for 8 hours at night when fully charged, turns off automatically at sunrise, and charges during the day using sunlight.","ENERGY AND COST SAVING: The solar panel contains a Ni MH 1.2V/AA 600mAh rechargeable battery that collects sunlight. With the switch in the ON position, the high-efficiency solar panel charges the battery without the need for external electricity, resulting in significant savings.","WEATHER-RESISTANT: Our Vuees solar garden decor lights are constructed with premium stainless steel and thick brass, ensuring durability. They are coated with rustproof paint and feature a waterproof IP65 design, allowing them to withstand various weather conditions and maintain long-lasting functionality.","WHAT'S INCLUDED: You will receive a solar fairy garden light stake, a user manual, and a packing box. We offer a worry-free 18-month warranty and provide friendly customer service with a 24-hour response time. Upon receiving the fairy solar lights, please press the ON button and keep the solar panel in darkness to test if the lights illuminate. Christams decoration gifts for mom, grandma and family.",,,,"B0C4Y1RZTR","4.6",,"$","38.98","true","Saturday, January 18",,"Friday, January 17"
"B09QBXNQTF","618","Glintoper",,,,,,,,,,"Color","Warm White","Glintoper","Material","Theme","Mothers Day","Item Weight","0.45 Kilograms",,,,,,,,,,,,,,,,,,,,"A2ATRD3TRG7CDE","MIRacle",,,"https://www.amazon.com/sp?seller=A2ATRD3TRG7CDE","US","https://www.amazon.com/dp/B09QBXNQTF",,"$","19.99",,"Metal Peacock Garden Stake: Make a colorful splash in your yard, porch, patio, or garden with our beautiful 39 inch height peacock decorative garden stakes. Elegant standing pose of our green peacock figurine with 40 LED copper lights that wrap round the tails (have to self-assemble), adds some vitality and fun to any outdoor scene. Peacock Dimensions: 11.8""L x 17.7""H.","Auto ON/OFF & Solar Powered: Powered by solar, built-in photocell sensor, so it will automatically turn on the lighting at dusk, and automatically turn off in daytime. Equipped with a 600mAh rechargeable Ni-MH Battery, so they can light up to 8 -10 hours (when fully charged). There is a switch at the back of solar panel, please turn it to ON before use.","Metal Peacock: The outdoor peacock garden decor is made of high quality metal, hand-painted and finished with a UV proof coating, vivid color can hold up a variety of weather conditions. The light maybe not bright enough, but the light is soft and gentle. In stormy weather, keep the yard stake indoors to avoid damaging the solar panels. Notes: Lights up from the tail part not whole body.","Perfect Outdoor Decoration: Suitable for outdoor use, with the waterproof rating of IP44 and weatherproof, no worries about rain, snow, frost, or sleet. It is a great Mothers Day gift for mom. Our solar yard ornament can be placed in the front, backyard, sidewalk, around your patio or porch, fountain, a great decoration for wedding, shop window, flamingo theme party supplies.",,,,"B09QBXNQTF","4.1",,,,"true","Saturday, January 18",,"Wednesday, January 15"
"B07Q33SJDW","15100","Norton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3ODHND3J0WMC8","Amazon.com Services LLC",,,"https://www.amazon.com/sp?seller=A3ODHND3J0WMC8","US","https://www.amazon.com/dp/B07Q33SJDW",,"$","24.99",,"ONGOING PROTECTION Download instantly & install protection for up to 5 PCs, Macs, iOS or Android devices in minutes!","REAL-TIME THREAT PROTECTION Advanced security protects against existing and emerging malware threats, including ransomware and viruses, and it won’t slow down your device performance","SECURE VPN Browse anonymously and securely with a no-log VPN while using public Wi-Fi Add bank-grade encryption to help keep your information like passwords and bank details secure and private","50GB SECURE PC CLOUD BACKUP store and help protect important files as a preventative measure to data loss due to hard drive failures, stolen devices and even ransomware***","PRE-PAID SUBSCRIPTION A payment method must be stored in your Norton account to activate* You won’t be charged until the prepaid term ends For new Norton subscriptions only at an introductory price","AUTO-RENEWAL Never have a service disruption since this subscription auto-renews annually If you do not wish to renew, you can cancel in your Norton account anytime",,"B07Q33SJDW","4.1",,"$","89.99","true",,,
"B0BYXNVM4Z","347","Aimery",,"Patio, Lawn & Garden","21148","https://www.amazon.com/gp/bestsellers/lawn-garden/ref=pd_zg_ts_lawn-garden","Outdoor Statues","141","https://www.amazon.com/gp/bestsellers/lawn-garden/14008351/ref=pd_zg_hrsr_lawn-garden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3RKWQMSF26VOO","Hopper0523",,,"https://www.amazon.com/sp?seller=A3RKWQMSF26VOO","US","https://www.amazon.com/dp/B0BYXNVM4Z",,"$","9.99",,"【Resin Material】Made of high-quality resin, these outdoor garden gnomes are durable and weatherproof, never fading, long lasting use, perfect for any outdoor setting. Please note that our only store name is 【Hopper0523】!","【Weather Resistant】The garden gnomes are painted with weather-resistant finishing, these garden gnomes can stand up to rain, wind, and sun exposure without fading. Ensuring they remain in perfect condition for years to come.","【Humorous Design】Each of our garden gnomes has an adorable and humorous design that is sure to bring a smile to your face every time you see them. The cute design of the garden gnomes adds a touch of charm and whimsy to your outdoor decor.","【Perfect for Garden Decor】Whether you're decorating your garden, patio, or backyard, our outdoor funny garden gnomes are the perfect choice. These garden gnomes make a beautiful addition to any garden or outdoor space.",,,,"B0BYXNVM4Z","4.4",,,,"true","Saturday, January 18",,"Wednesday, January 15"
"B07F3TQ3YV",,"Microsoft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"US","https://www.amazon.com/dp/B07F3TQ3YV",,,,,"Placeholder",,,,,,,"B07F3TQ3YV",,,,,"false",,,
"B0DHYJ23KG","187","Intuit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3ODHND3J0WMC8","Amazon.com Services LLC",,,"https://www.amazon.com/sp?seller=A3ODHND3J0WMC8","US","https://www.amazon.com/dp/B0DHYJ23KG",,"$","47.99",,"Recommended if you own a home, have charitable donations, high medical expenses, or only need to file a Federal Tax Return","Includes 5 federal e-files. State download and e-file additional. Get U.S.-based technical support (hours may vary).","NEW. Live Tax Advice: Connect with a tax expert and get one-on-one advice and answers as you prepare your return (fee applies)","Maximizes 375+ deductions and credits","Up-to-date on the latest tax laws","Imports prior year data from TurboTax and other tax software","Audit Risk Meter checks your return for audit triggers","B0DHYJ23KG","3.8",,"$","69.99","true",,,
"B0DJQ2V9QR","324","H&R Block",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3ODHND3J0WMC8","Amazon.com Services LLC",,,"https://www.amazon.com/sp?seller=A3ODHND3J0WMC8","US","https://www.amazon.com/dp/B0DJQ2V9QR",,"$","44.99",,"Choose to put your refund on an Amazon gift card and you can get a 2% bonus. See below for details","Quickly import your W-2, 1099, 1098, and last year's personal tax return, even from TurboTax and Quicken Software","One state program download included— a $39.95 value","Guidance on maximizing mortgage interest and real estate tax deductions (Schedule A)","Step-by-step Q&A and guidance","Accuracy Review checks for issues and assesses your audit risk",,"B0DJQ2V9QR","3.8",,"$","59.99","true",,,
"B0DDKF2HDL","95","Tomyvic",,,,,,,,,,"Brand","Tomyvic","Green & Black","Power Source","Voltage","21 Volts","Form Factor","Handheld","Special Feature","Adjustable Speed, Overload Protection, Lightweight, Rechargeable, Battery Charge Indicator","Included Components","User Manual, Battery, Charger, Extension Nozzle","Item Weight","5.3 Pounds","Material","Plastic","Maximum Speed","130 Miles per Hour",,,,,,,,,,"A2H2LLFI9RNQTC","Tomyvic Ltd",,,"https://www.amazon.com/sp?seller=A2H2LLFI9RNQTC","US","https://www.amazon.com/dp/B0DDKF2HDL",,,,,"🌟 𝐎𝐟𝐟𝐞𝐫 𝐄𝐱𝐭𝐫𝐚 𝐁𝐚𝐭𝐭𝐞𝐫𝐲 𝐟𝐨𝐫 𝐄𝐱𝐭𝐞𝐧𝐝𝐞𝐝 𝐔𝐬𝐞 - Equipped with 2PCs powerful 21V 2.0Ah lithium-ion batteries, alternate between batteries to keep going, and enjoy up to 60 minutes on low speed or 30 minutes on high-speed working time—ideal for quick, light jobs.","🚀 𝐓𝐰𝐨 𝐒𝐩𝐞𝐞𝐝 𝐒𝐞𝐭𝐭𝐢𝐧𝐠𝐬 𝐟𝐨𝐫 𝐕𝐞𝐫𝐬𝐚𝐭𝐢𝐥𝐞 𝐂𝐥𝐞𝐚𝐧𝐢𝐧𝐠 - The lower speed is perfect for indoor and outdoor light-duty tasks like clearing dust or small debris of garage corners, while the higher speed tackles tougher jobs such as dry fallen leaves around the house or yard. Giving you the flexibility you need for different areas.","🧤 𝐋𝐢𝐠𝐡𝐭𝐰𝐞𝐢𝐠𝐡𝐭 𝐚𝐧𝐝 𝐄𝐫𝐠𝐨𝐧𝐨𝐦𝐢𝐜 𝐃𝐞𝐬𝐢𝐠𝐧 - Weighing just 3.36 lbs, this lawn blower is easy to handle with one hand, making it suitable for all family members. Its ergonomic design provides a well-balanced grip, reducing fatigue by 30% for comfortable, extended use.","📦 𝐂𝐨𝐦𝐩𝐥𝐞𝐭𝐞 𝐑𝐞𝐚𝐝𝐲-𝐭𝐨-𝐔𝐬𝐞 𝐒𝐞𝐭 - The box includes everything you need to get started: the blower, two 2.0Ah batteries, a charger,a tube, an extension tube, and safety goggles. It's easy to assemble in just 2 steps.","⚡ 𝐒𝐚𝐟𝐞 𝐁𝐚𝐭𝐭𝐞𝐫𝐲 𝐇𝐞𝐚𝐥𝐭𝐡 𝐏𝐫𝐨𝐭𝐞𝐜𝐭𝐢𝐨𝐧 - Our 21V battery is equipped with overheat protection. After using the blower in high-speed mode, if the battery becomes hot, it requires a 15-minute cooldown before charging can begin. The battery features an indicator to display the charging status, and a full charge takes up to 110 minutes.","🔧 𝐃𝐮𝐫𝐚𝐛𝐢𝐥𝐢𝐭𝐲 𝐚𝐧𝐝 𝐐𝐮𝐚𝐥𝐢𝐭𝐲 𝐀𝐬𝐬𝐮𝐫𝐚𝐧𝐜𝐞 - Built to last, our leaf blower is backed by a 12-month warranty. We stand behind our product's quality and are ready to assist you with any questions or concerns. For reliable, long-term use, choose a tool you can trust with confidence.",,"B0DDKF2HDL","4.3",,"$","69.99","false","Saturday, January 18",,"Thursday, January 16"
"B0CS3SQKYC","277","Misawce",,,,,,,,,,"Color","Warm White-1 pack","Misawce","Material","Frame Material","Iron","Light Color","Warm White",,,,,,,,,,,,,,,,,,,,"A1OQZMMPEVM61X","Misawce Direct",,,"https://www.amazon.com/sp?seller=A1OQZMMPEVM61X","US","https://www.amazon.com/dp/B0CS3SQKYC",,"$","19.99",,"【Small Garden Decorative Light】 Solar watering can lights (with shepherd hook) comes with 6 strands of LED flashing string lights (60 LEDs), the light cord is 17.7 inches long and can be easily bent and shaped into any shape you like, perfect for DIY. These lamp beads will light up at night, beating and twinkling like flowing stars. The built-in high-brightness LED bulb amplifies the hollow pattern and projects it onto the ground and surroundings, creating a romantic atmosphere.","【Automatic & Solar Powered】 Solar lights use larger and latest upgraded solar panels, which are more powerful, absorb solar energy faster, and store more electricity. It can be used for 8-12 hours after charging for 6-8 hours. Glows by itself at night, patio outdoor decoration requires no wiring or external power supply, making it easy to use and save energy costs. (Note: Please put the power switch to the ""on"" position when charging during the day and place the solar panel in a well-lit place).","【All-Weather Durable】 Our solar garden decorative lights are made of high-quality metal with gorgeous bronze paint on the outside and are rust-proof. The lamps are IP65 rated, suitable for long-term outdoor environments, no need to worry about rain, snow, frost or sleet. However, in order to extend the service life, please do not soak it in water.","【After-sales service】We carefully inspect each light for defects before shipment to ensure that you receive a fully functional product. If you have any issues or concerns, please contact us for prompt assistance and resolution. (NOTE: This small kettle can measures 3.9 x 3.9 inches. Please check the size carefully before purchasing to ensure satisfaction.)",,,,"B0CS3SQKYC","4.4",,,,"true","Saturday, January 18",,"Tomorrow, January 14"
