Product Name,rating,Number of Reviews,Price,Discount
"Lenovo IdeaPad Slim 3i 15.6"" Laptop - Arctic Grey (Intel Core i5-1335U/16GB RAM/512GB SSD/Windows 11)",4.6,(87 Reviews),$649.99,SAVE $450
"ASUS Vivobook 16"" Laptop - Indie Black (Intel Core i7-1255U/16GB RAM/512GB SSD/Windows 11)",4.67,(15 Reviews),$699.99,SAVE $300
"Lenovo IdeaPad Slim 3 14"" Touchscreen Chromebook - Cloud Grey (MediaTek Kompanio 520/128GB eMMC/8GB RAM)",4.46,(50 Reviews),$279.99,SAVE $50
"Apple MacBook Air 13.3"" w/ Touch ID (Fall 2020) - Silver (Apple M1 Chip / 256GB SSD / 8GB RAM) - Fr",5,(1 Review),$799.95,SAVE $200
"HP 15"" Laptop w/ 1 year of Microsoft 365 - Natural Silver (Intel N100/128GB SSD/4GB RAM)",3.83,(23 Reviews),$279.99,SAVE $150
"ASUS Vivobook 16 16"" Laptop - Indie Black (Intel Core i5-1335U/8GB RAM/512GB SSD/Windows 11) - English",3.5,(4 Reviews),$549.99,SAVE $250
"Acer Nitro V 15 15.6"" Gaming Laptop - Black (Intel Core i5-13420H/512GB SSD/8GB RAM/RTX2050/Windows 11)",5,(1 Review),$699.99,SAVE $300
"Lenovo IdeaPad Slim 3i 15.6"" Laptop - Arctic Grey (Intel Core i7-1355U/16GB RAM/512GB SSD/Windows 11)",4.59,(93 Reviews),$799.99,SAVE $400
"ASUS ROG Strix G15 15.6"" Gaming Laptop -Eclipse Grey (AMD Ryzen 7 6800H/8GB RAM/512GB SSD/GeForce RTX 3050)",5,(1 Review),$999.99,SAVE $500
"Lenovo IdeaPad 3i 15.6"" Laptop - Arctic Grey (Intel Core i5-1235U/8GB RAM/512GB SSD/Windows 11)",5,(1 Review),$549.99,SAVE $250
"Apple MacBook Air 13"" w/ Touch ID (2024) - Midnight (Apple M3 Chip / 512GB SSD / 8GB RAM) - English",4.82,(177 Reviews),$1349.95,SAVE $250
