ASIN,Title,Brand,Discounted Price,Actual Price,Stock Status,Rating,Review Count,URL
B0CG19FGQ5,"DJI Osmo Pocket 3 Creator Combo, Vlogging Camera with 1'' CMOS & 4K/120fps Video, 3-Axis Stabilization, Face/Object Tracking, Fast Focusing, Mic Included for Clear Sound, Small Camera for Photography",Visit the DJI Store,"₹69,990.00","₹74,990",In stock,4.6 out of 5 stars,"2,901 ratings",https://www.amazon.in/dp/B0CG19FGQ5
B016C6EOO8,amazon basics Pet Training Pads Extra-Large - 60 Pieces,Visit the amazon basics Store,"₹1,149.00",₹19.15,In stock,3.9 out of 5 stars,"103,605 ratings",https://www.amazon.in/dp/B016C6EOO8
B09CSSP9C1,"Ailun Glass Screen Protector Compatible for iPhone 13/13 Pro [6.1 Inch] Display 3 Pack Tempered Glass,Case Friendly",Brand: Ailun,₹399.00,₹133.00,In stock,4.6 out of 5 stars,"68,041 ratings",https://www.amazon.in/dp/B09CSSP9C1
B0BS1QCFHX,"Sony WH-CH720N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Mic, Up to 35Hrs Battery- Black",Visit the Sony Store,"₹8,990.00","₹14,990",In stock,4.3 out of 5 stars,"9,538 ratings",https://www.amazon.in/dp/B0BS1QCFHX
B07H2V5YLH,"ailun screen protector compatible with iphone xr (6.1inch 2018 release),[3 pack],0.33mm tempered glass, compatible with iphone xr (6.1inch 2018 release),anti-scratch,advanced hd clarity work most case",Brand: Ailun,₹399.00,₹133.00,In stock,4.6 out of 5 stars,"328,041 ratings",https://www.amazon.in/dp/B07H2V5YLH
B07THJGZ9Z,"Anker USB C to HDMI Adapter (4K@60Hz), 310 USB-C Adapter (4K HDMI), for MacBook Pro, MacBook Air, iPad Pro, Pixelbook, XPS, Galaxy, and More(Compatible with Thunderbolt 3 Ports)",Visit the Anker Store,"₹1,799.00","₹2,998",In stock,4.4 out of 5 stars,"32,560 ratings",https://www.amazon.in/dp/B07THJGZ9Z
B00QSR9URI,"AmazonBasics Legal/Wide Ruled Pad (12 pack, 50 sheets per pad) 222 GSM, 8.5 inches X 11.75 inches - White",Visit the amazon basics Store,₹849.00,₹70.75,In stock,4.1 out of 5 stars,"107,369 ratings",https://www.amazon.in/dp/B00QSR9URI
B0CJMJS3DS,"NEW'C Pack of 3 Tempered Glass Screen Protector for iPhone 15 Pro (6.1 Inches), Scratch Free, 9H Hardness, HD Screen Protector, 0.33 mm Ultra Clear, Ultra Resistant",Brand: NEW'C,₹489.00,"₹1,999",In stock,4.0 out of 5 stars,"9,836 ratings",https://www.amazon.in/dp/B0CJMJS3DS
B0012YVGOW,BIC Round Stic Ballpoint Pen|Black,Brand: BIC,"₹1,424.00","₹1,899",Only 1 left in stock.,4.7 out of 5 stars,"102,599 ratings",https://www.amazon.in/dp/B0012YVGOW
B07GBZ4Q68,"Logitech G502 Hero High Performance Wired USB Gaming Mouse, Hero 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC/Mac - Black",Visit the Logitech G Store,"₹4,195.00","₹5,495",In stock,4.5 out of 5 stars,"53,405 ratings",https://www.amazon.in/dp/B07GBZ4Q68
B088NHSVJN,"BIGASUO Digital Picture Frame - 10 inch WiFi Digital Frame IPS Touch Screen 1080P Photo Frame, 16GB Large Memory Share Moments Instantly via Mobile APP, Auto-Rotate, Support USB and SD Card",Brand: BIGASUO,"₹6,624.55","₹19,999",In stock,4.5 out of 5 stars,"4,774 ratings",https://www.amazon.in/dp/B088NHSVJN
B08HZ6PS61,"USB C Adapter (2 Pack), Anker USB C to USB Adapter High-Speed Data Transfer, USB-C to USB 3.0 Female Adapter for MacBook Pro 2020, iPad Pro 2020, Samsung Notebook 9, Dell XPS and More Type C Devices",Visit the Anker Store,"₹1,099.00","₹1,798",In stock,4.7 out of 5 stars,"18,006 ratings",https://www.amazon.in/dp/B08HZ6PS61
B015OW3M1W,"AmazonBasics 6-Feet DisplayPort (not USB port) to HDMI Cable, Black",Visit the amazon basics Store,₹699.00,"₹1,700",In stock,4.1 out of 5 stars,"39,203 ratings",https://www.amazon.in/dp/B015OW3M1W
B0BBJDS62N,AMD 7000 Series Ryzen 5 7600X Desktop Processor 6 cores 12 Threads 38 MB Cache 4.7 GHz Upto 5.3 GHz AM5 Socket (100-100000593WOF),Brand: AMD,"₹21,919.00","₹42,150",In stock,4.7 out of 5 stars,"3,264 ratings",https://www.amazon.in/dp/B0BBJDS62N
B07P29XQR4,​​​​PopSockets Phone Grip with Expanding Kickstand - Black,Visit the POPSOCKETS Store,₹745.00,₹310.42,In stock,4.3 out of 5 stars,"73,621 ratings",https://www.amazon.in/dp/B07P29XQR4
B0CCZ26B5V,"Bose New QuietComfort Wireless Noise Cancelling Headphones, Bluetooth Over Ear Headphones with Up to 24 Hours of Battery Life - Black",Visit the Bose Store,"₹21,999.00","₹27,900",In stock,4.4 out of 5 stars,"6,593 ratings",https://www.amazon.in/dp/B0CCZ26B5V
B014EUQOGK,"Logitech K400 Plus Wireless Touch TV Keyboard with Easy Media Control and Built-in Touchpad, HTPC Keyboard for PC-Connected TV, Windows, Android, Chrome OS, Laptop, Tablet - Black",Brand: Logitech,"₹3,979.00","₹4,595",In stock,4.1 out of 5 stars,"36,983 ratings",https://www.amazon.in/dp/B014EUQOGK
B0C74GYW3J,"FIFINE XLR/USB Gaming Microphone Kit, Dynamic PC Mic for Streaming Podcasting, Computer RGB Mic Set with Boom Arm Stand, Mute Button, Headphones Jack, for Recording Vocal Voice-Over-AmpliGame AM8T",Visit the FIFINE Store,"₹5,790.00","₹7,800",In stock,4.6 out of 5 stars,"2,050 ratings",https://www.amazon.in/dp/B0C74GYW3J
B0B769X1VJ,"Ailun Glass Screen Protector for iPhone 14/14 Pro [6.1 Inch] Display 3 Pack Tempered Glass, Sensor Protection, Dynamic Island Compatible, Case Friendly",Brand: Ailun,₹399.00,₹133.00,In stock,4.5 out of 5 stars,"15,874 ratings",https://www.amazon.in/dp/B0B769X1VJ
B0DCFBYG99,"Maypug Mini WiFi6 & Bluetooth Projector, White, DLP, HDMI, USB, 3.5mm Audio, 1280x720 Resolution",Brand: Maypug,"₹4,599.00","₹5,999",In stock,4.1 out of 5 stars,645 ratings,https://www.amazon.in/dp/B0DCFBYG99
B0B3FVL358,"Aveeno Baby Kids Sensitive Skin Face & Body Wash With Oat Extract, Gently Washes Away Dirt & Germs Without Drying 532Ml",Visit the Aveeno Baby Store,"₹1,995.00",₹375.00,In stock,4.8 out of 5 stars,"2,621 ratings",https://www.amazon.in/dp/B0B3FVL358
B072LY7465,"Basesailor Oneplus Original Fast 80W USB Type C Data Sync Fast Charging Charger Cable for One Plus 12,12r,11,11r,10r,10t,10,10 pro,9 Pro,8,8T,7t,7t Pro,6,Nord,4,3,2,2t,Ce2 Lite,Ce3 lite,Nord Ce3,Ce4",Brand: Basesailor,₹379.00,"₹1,999",In stock,4.4 out of 5 stars,"21,014 ratings",https://www.amazon.in/dp/B072LY7465
B0B28G5Y4R,"HAPPRUN Projector, Native 1080P Bluetooth Projector with 100''Screen, 9500L Portable Outdoor Movie Projector Compatible with Smartphone, HDMI,USB,AV,Fire Stick, PS5",Brand: HAPPRUN,"₹9,999.00","₹4,999.50",In stock,4.2 out of 5 stars,"9,187 ratings",https://www.amazon.in/dp/B0B28G5Y4R
B005EJH6RW,amazon basics Wireless Mouse | 2.4 Ghz with USB Nano Receiver | 1000 DPI Optical Tracking | Compatible with PC & Laptop (White & Black),Visit the amazon basics Store,₹279.00,₹699,In stock,3.6 out of 5 stars,"85,366 ratings",https://www.amazon.in/dp/B005EJH6RW
B0C7GW9F88,"GameSir G7 SE Wired Controller for Xbox Series X|S, Xbox One & Windows 10/11, Plug and Play Gaming Gamepad with Hall Effect Joysticks/Hall Trigger, 3.5mm Audio Jack",Brand: GameSir,"₹4,599.00","₹14,999",In stock,4.4 out of 5 stars,"10,541 ratings",https://www.amazon.in/dp/B0C7GW9F88
